車道,しゃどう,0,名,车行道,Class6
横切る,よこぎる,3,他五,横穿,Class6
左,ひだり,0,名,左边，左,Class6
横断歩道,おうだんほどう,5,名,人行横道,Class6
通る,とおる,1,自五,通过，走过，穿过,Class6
伺う,うかがう,0,他五,(聞く，訪ねる）的谦让语,Class6
プラットホーム,plantform,5,名,站台,Class6
一号線,いちごうせん,0,名,一号线,Class6
新荘,しんしょう,0，1,名,莘庄,Class6
…行き,…ゆき,0,接尾,开往……,Class6
ひとりひとり,ひとりひとり,5,副,一个一个,Class6
順に,じゅんに,0,副,有秩序地，依次,Class6
立つ,たつ,1,自五,立，站，升，冒,Class6
奥,おく,1,名,深处，里头，内宅,Class6
詰める,つめる,2,他一,往…挤一挤，装入,Class6
人民広場,じんみんひろば,5,专,人民广场,Class6
いくつ目,いくつめ,0，4,名,第几个,Class6
駅前,えきまえ,3,名,车站前,Class6
待たせる,またせる,3,他一,让…等,Class6
終点,しゅうてん,0，2,名,终点,Class6
停車,ていしゃ,0,名，自サ,停车,Class6
常に,つねに,1,副,经常,Class6
心掛ける,こころがける,5,他一,留心，留意,Class6
防止,ぼうし,0,名，他サ,防止,Class6
やむを得ず,やむをえず,4,副,不得已,Class6
急停車,きゅうていしゃ,3,名,急刹车,Class6
発車,はっしゃ,0,名，自サ,发车,Class6
揺れる,ゆれる,0,自一,摇动，摇晃,Class6
手摺り,てすり,3,名,扶手,Class6
摑まる,つかまる,0,自五,抓住，被逮住,Class6
方面,ほうめん,3,名,方向，方面,Class6
お出で,おいで,0,名,(行く，来る，いる）的敬语,Class6
忘れ物,わすれもの,0,名,遗失物,Class6
支度,したく,0,名，自サ,准备，（外出）打扮,Class6
乗車,じょうしゃ,0,名，自サ,乘车,Class6
お疲れ様でした,おつかれさまでした,6,寒暄语,辛苦了,Class6
ご利用くださいまして,ごりようくださいまして,,组,承蒙利用,Class6
上海科学館,しゃんはいかがくかん,7,专,上海科技馆,Class6
誠に,まことに,0,副,实在，真诚,Class6
角,かど,1,名,角，拐角,Class6
通り,とおり,3,名,大街，马路,Class6
正面,しょうめん,3,名,正面,Class6
ラッシュ,rush,1,名,高峰时期,Class6
いくら,いくら,1,副,（与…ても糊一个）即使……也,Class6
起こる,おこる,2,自五,发生,Class6
すし詰め,すしづめ,0,名,拥挤不堪,Class6
身動き,みうごき,2，4,名,转动身子,Class6
早目,はやめ,0，3,名，形动,提早、早些,Class6
空く,すく,0,自五,有空隙，有间隙,Class6
いくらか,いくらか,1，3,副,多少、稍微,Class6
増し,まし,0,名，形动,胜过，增多,Class6
感心,かんしん,0,名，形动，自サ,钦佩，佩服,Class6
ますます,ますます,2,副,益发，越发,Class6
深刻,しんこく,0,形动,严重,Class6
悲観,ひかん,0,名，自他サ,悲观,Class6
どんどん,どんどん,1,副,接二连三，（进展）顺利,Class6
事情,じじょう,0,名,情形，情况,Class6
交通機関,こうつうきかん,5，6,名,交通工具,Class6
公共,こうきょう,0,名,公共,Class6
読み取り機,よみとりき,4,名,读卡机、检票机,Class6
かざす,かざす,0，2,他五,放在……上面,Class6
料金,りょうきん,1，0,名,使用费,Class6
支払い,しはらい,0,名,付、支付,Class6
完了,かんりょう,0,名，自他サ,完了、完事,Class6
各駅,かくえき,1，0,名,各个车站,Class6
マクドナルド,McDonald’s,4,专,麦当劳,Class6
チャージ,charge,1,名,充值,Class6
有効期限,ゆうこうきげん,5,名,有效期限,Class6
不要,ふよう,0,名，形动,不要；不需要,Class6
大衆,たいしゅう,0,名,大众,Class6
チケット,ticket,1，2,名,票、券,Class6
返却,へんきゃく,0,名，他サ,退换、归还,Class6
使用,しよう,0,名，他サ,使用,Class6
可能,かのう,0,名,可能,Class6
範囲,はんい,1,名,范围,Class6
フェリー,ferry,1,名,渡轮,Class6
高速道路,こうそくどうろ,5,名,高速公路,Class6
距離,きょり,1,名,距离,Class6
比例,ひれい,0,名，自サ,比利,Class6
磁気,じき,1,名,磁性,Class6
…式,…しき,,结尾,式,Class6
構内,こうない,1,名,车站内、场内、区域内,Class6
券売機,けんばいき,3,名,售票机,Class6
改札,かいさつ,0,名,检票,Class6
入場,にゅうじょう,0,名，自サ,入场,Class6
到着駅,とうちゃくえき,4,名,到达的车站,Class6
同様,どうよう,0,形动,同样、一个样,Class6
出場,しゅつじょう,0,名，自サ,出场,Class6
手を上げる,てをあげる,,组,扬手、招手,Class6
行き先,ゆきさき,0,名,目的地,Class6
告げる,つげる,0,他一,告知,Class6
普及率,ふきゅうりつ,2,名,普及率,Class6
記す,しるす,0,他サ,记下、写下,Class6
紙,かみ,2,名,纸,Class6
降車,こうしゃ,0,名，自サ,下车,Class6
際,さい,1,名,时候、场合,Class6
受け取る,うけとる,0，3,他五,接受,Class6
会社名,かいしゃめい,3,名,公司名,Class6
走行,そうこう,0,名,行驶、行车,Class6
トラブル,trouble,2,名,纠纷、纠葛,Class6
助け,たすけ,3,名,帮助,Class6
市バス,しbus,0,名,城市公交车,Class6
運賃,うんちん,1,名,车费,Class6
車掌,しゃしょう,0,名,售票员、乘务员,Class6
発車,はっしゃ,0,名，自サ,发车、开车,Class6
徴収,ちょうしゅう,0,名，他サ,征收、收取,Class6
開く,ひらく,2,他五,召开，打开,Class7
祝い,いわい,2,名,祝贺，贺礼,Class7
別科,べっか,0,名,别科,Class7
蔡,さい,1,专,蔡（姓氏）,Class7
切紙,きりがみ,2,名,剪纸,Class7
周,しゅう,1,专,周（姓氏）,Class7
まるで,まるで,0,副,宛如…，完全,Class7
本物,ほんもの,0,名,真东西，真货,Class7
手伝う,てつだう,3,他五,帮忙，帮助,Class7
助かる,たすかる,3,自五,得救，得到帮助,Class7
司会,しかい,0,名，他サ,主持会议,Class7
赵,ちょう,1,专,赵（姓氏）,Class7
中山,なかやま,0,专,中山（姓氏）,Class7
おめでとうございます,おめでとうございます,,寒暄语,祝贺（您）,Class7
たいした,たいした,1,连体,了不起,Class7
翌日,よくじつ,0,名,次日，第二天,Class7
急用,きゅうよう,0,名,急事,Class7
残念,ざんねん,3,形动,遗憾，抱歉,Class7
ジョン,John,1,专,约翰（姓氏）,Class7
アルン,Allen,1,专,艾伦（姓氏）,Class7
絵葉書,えはがき,2,名,图画明星片,Class7
ピエール,Pierre 法,0,专,皮埃尔（姓氏）,Class7
陳,ちん,1,专,陈（姓氏）,Class7
送る,おくる,0,他五,寄，送，送行，度过,Class7
素敵,すてき,0,形动，名,极好，极漂亮,Class7
優しい,やさしい,0,形,温柔，体贴,Class7
世話をする,せわをする,2,组,照顾，照料,Class7
大掃除,おおそうじ,3,名,大扫除,Class7
お土産,おみやげ,0,名,土产，礼物，纪念品,Class7
一人っ子,ひとりっこ,3,名,独生子女,Class7
銀婚式,ぎんこうしき,3,名,银婚庆典,Class7
頃,ころ,1,名,时候、时期,Class7
世の中,よのなか,2,名,世上,Class7
苦しい,くるしい,3,形,痛苦的、艰苦的,Class7
丈夫,じょうぶ,0,形动,坚固的，结实的,Class7
育てる,そだてる,3,他一,养育；抚养,Class7
御蔭,おかげ,0,名,多亏；由于,Class7
青春,せいしゅん,0,名,青春,Class7
十分,じゅうぶん,3,副，形动,充分；足够,Class7
有意義,ゆういぎ,3,形动,有意义的,Class7
涙ぐむ,なみだぐむ,4,自五,含泪,Class7
バイオリン,violin,0,名,小提琴,Class7
弾く,ひく,0,他五,弹,Class7
沢田,さわだ,0,专,泽田（姓氏）,Class8
聞き取る,ききとる,3,他五,听见，听懂,Class8
大して,たいして,1,副,（下接否定）并不那么,Class8
苦労,くろう,1,名，自サ，形动,辛苦，操劳,Class8
点,てん,0,名,点，分数，观点,Class8
常用漢字,じょうようかんじ,0,名,常用汉字,Class8
引く,ひく,0,他五,查，扣除，拉,Class8
テレビ講座,televisionこうざ,0,名,电视讲座,Class8
初級,しょきゅう,0,名,初级,Class8
中級,ちゅうきゅう,0,名,中级,Class8
駄目,だめ,2,形动,白费，不行,Class8
四声,しせい,0,名,（汉字的）四声,Class8
指導,しどう,0,名，他サ,领导，指导,Class8
下（許）,もと,2,名,底下；身边；在……下,Class8
カラオケ,カラオケ,0,名,卡拉OK,Class8
曲,きょく,1，0,名,歌曲，曲调,Class8
忘年会,ぼうねんかい,3,名,年终联欢会,Class8
披露,ひろう,1,名，他サ,披露，宣布,Class8
班長,はんちょう,1,名,班长,Class8
悩み,なやみ,3,名,烦恼、苦恼,Class8
のんびり,のんびり,3,副，自サ,舒舒服服、悠然自得的,Class8
ちゃんと,ちゃんと,0,副,规矩地；整齐地；好好地,Class8
関係,かんけい,0,名,关系,Class8
疲れ,つかれ,3,名,累、疲倦,Class8
眠れる,ねむれる,0,自一,能睡（着）觉,Class8
辛い,つらい,0,形,痛苦的、难受的,Class8
真面目,まじめ,0,形动,认真、严肃、诚实,Class8
何もかも,なにもかも,1，4,组,一切、全部,Class8
任せる,まかせる,3,他一,托付、委托,Class8
そのうち,そのうち,0,副,不久、过会儿,Class8
リラックス,relax,2,自サ,放松,Class8
尊敬,そんけい,0,名，他サ,尊敬,Class9
活発,かっぱつ,0,形动,活泼，活跃,Class9
教わる,おそわる,0,他五,跟…学习，受教,Class9
態度,たいど,1,名,态度,Class9
成績,せいせき,0,名,成绩,Class9
褒める,ほめる,2,他一,表扬，赞扬,Class9
同級生,どうきゅうせい,3,名,同年级学生,Class9
喧嘩,けんか,0,名，自サ,争吵，打架,Class9
叱る,しかる,0,他五,骂，责备,Class9
横山,よこやま,2,专,横山（姓氏）,Class9
兄弟,きょうだい,1,名,弟兄，兄弟,Class9
仲,なか,1,名,交情，关系,Class9
助け合う,たすけあう,4,他五,互相帮助,Class9
混雑,こんざつ,1,名，自サ,混乱，混杂,Class9
